Number of Points,Trial Number,Graph Bandwidth,Error
4096,6,0.106141,0.100436
4096,13,0.106141,0.076895
4096,4,0.106141,0.103488
4096,3,0.106141,0.063815
4096,10,0.106141,0.068182
4096,16,0.106141,0.056754
4096,1,0.106141,0.053328
4096,18,0.106141,0.058735
4096,14,0.106141,0.065613
4096,5,0.106141,0.050936
4096,12,0.106141,0.054172
4096,2,0.106141,0.052901
4096,8,0.106141,0.063942
4096,0,0.106141,0.087338
4096,15,0.106141,0.098889
4096,9,0.106141,0.054389
4096,11,0.106141,0.052510
4096,7,0.106141,0.055810
4096,19,0.106141,0.063361
4096,17,0.106141,0.074180
4096,20,0.106141,0.080758
4096,21,0.106141,0.064960
4096,27,0.106141,0.068213
4096,23,0.106141,0.097385
4096,26,0.106141,0.088702
4096,25,0.106141,0.054708
4096,24,0.106141,0.070362
4096,28,0.106141,0.062251
4096,29,0.106141,0.067488
4096,22,0.106141,0.094379
4096,32,0.106141,0.092737
4096,30,0.106141,0.066547
4096,36,0.106141,0.067089
4096,33,0.106141,0.056320
4096,38,0.106141,0.049413
4096,34,0.106141,0.098381
4096,35,0.106141,0.061544
4096,39,0.106141,0.103005
4096,31,0.106141,0.056675
4096,37,0.106141,0.064656
4096,42,0.106141,0.062552
4096,40,0.106141,0.077927
4096,41,0.106141,0.083453
4096,43,0.106141,0.066714
4096,44,0.106141,0.102384
4096,46,0.106141,0.072912
4096,47,0.106141,0.071499
4096,45,0.106141,0.050074
4096,51,0.106141,0.078704
4096,48,0.106141,0.106104
4096,49,0.106141,0.090875
4096,56,0.106141,0.083773
4096,54,0.106141,0.072241
4096,52,0.106141,0.080042
4096,50,0.106141,0.048590
4096,58,0.106141,0.044495
4096,57,0.106141,0.069347
4096,53,0.106141,0.060087
4096,55,0.106141,0.059441
4096,59,0.106141,0.088559
4096,61,0.106141,0.071448
4096,60,0.106141,1.088524
4096,62,0.106141,0.052169
4096,63,0.106141,0.059960
4096,65,0.106141,0.110808
4096,64,0.106141,0.062832
4096,66,0.106141,0.078788
4096,68,0.106141,0.076592
4096,71,0.106141,0.075901
4096,69,0.106141,0.048995
4096,67,0.106141,0.070054
4096,70,0.106141,0.059962
4096,72,0.106141,0.102394
4096,76,0.106141,0.053666
4096,75,0.106141,0.072614
4096,74,0.106141,0.064259
4096,77,0.106141,0.076034
4096,73,0.106141,0.058462
4096,79,0.106141,0.071379
4096,78,0.106141,0.062404
4096,80,0.106141,0.092902
4096,81,0.106141,0.071232
4096,82,0.106141,0.054494
4096,83,0.106141,0.070417
4096,84,0.106141,0.069070
4096,88,0.106141,0.080779
4096,86,0.106141,0.039620
4096,85,0.106141,0.073728
4096,90,0.106141,0.083312
4096,89,0.106141,0.072823
4096,87,0.106141,0.087461
4096,93,0.106141,0.089290
4096,91,0.106141,0.061593
4096,95,0.106141,0.052744
4096,92,0.106141,0.071835
4096,94,0.106141,0.089279
4096,97,0.106141,0.079337
4096,96,0.106141,0.079617
4096,98,0.106141,0.100756
4096,99,0.106141,0.072683
8192,13,0.091057,0.076535
8192,8,0.091057,0.037408
8192,2,0.091057,0.061198
8192,5,0.091057,0.050249
8192,0,0.091057,0.058961
8192,14,0.091057,0.051634
8192,6,0.091057,0.037390
8192,11,0.091057,0.049809
8192,17,0.091057,0.051261
8192,18,0.091057,0.076868
8192,4,0.091057,0.050424
8192,12,0.091057,0.059036
8192,10,0.091057,0.077812
8192,9,0.091057,0.045789
8192,3,0.091057,0.057932
8192,7,0.091057,0.036336
8192,15,0.091057,0.064292
8192,1,0.091057,0.042665
8192,16,0.091057,0.079482
8192,19,0.091057,0.045666
8192,21,0.091057,0.052615
8192,20,0.091057,0.048639
8192,27,0.091057,0.054946
8192,23,0.091057,0.039332
8192,22,0.091057,0.054814
8192,24,0.091057,0.089060
8192,29,0.091057,0.051153
8192,25,0.091057,0.053155
8192,28,0.091057,0.045225
8192,26,0.091057,0.057447
8192,30,0.091057,0.041233
8192,38,0.091057,0.064713
8192,31,0.091057,0.067306
