Number of Points,Trial Number,Graph Bandwidth,Error
4096,1,0.101328,0.082279
4096,2,0.101328,0.052735
4096,8,0.101328,0.064282
4096,5,0.101328,0.078982
4096,0,0.101328,0.092423
4096,4,0.101328,0.086231
4096,9,0.101328,0.050894
4096,12,0.101328,0.066303
4096,19,0.101328,0.068641
4096,7,0.101328,0.065007
4096,16,0.101328,0.061388
4096,18,0.101328,0.077419
4096,10,0.101328,0.063341
4096,15,0.101328,0.078155
4096,17,0.101328,0.070485
4096,14,0.101328,0.061952
4096,11,0.101328,0.067166
4096,13,0.101328,0.044767
4096,6,0.101328,0.086456
4096,3,0.101328,0.066569
4096,20,0.101328,0.072190
4096,21,0.101328,0.081263
4096,22,0.101328,0.057754
4096,27,0.101328,0.048393
4096,23,0.101328,0.057449
4096,26,0.101328,0.073308
4096,28,0.101328,0.081588
4096,24,0.101328,0.054826
4096,25,0.101328,0.056249
4096,29,0.101328,0.087597
4096,30,0.101328,0.092474
4096,31,0.101328,0.094289
4096,33,0.101328,0.079946
4096,32,0.101328,0.099830
4096,34,0.101328,0.104070
4096,36,0.101328,0.053557
4096,37,0.101328,0.063211
4096,35,0.101328,0.107638
4096,39,0.101328,1.091329
4096,38,0.101328,0.087597
4096,40,0.101328,0.085467
4096,41,0.101328,0.048506
4096,44,0.101328,0.076466
4096,42,0.101328,0.090856
4096,47,0.101328,0.062104
4096,43,0.101328,0.054276
4096,48,0.101328,0.084181
4096,46,0.101328,0.064601
4096,45,0.101328,0.066465
4096,50,0.101328,0.060036
4096,54,0.101328,0.077129
4096,49,0.101328,0.050680
4096,51,0.101328,0.064560
4096,53,0.101328,0.073075
4096,59,0.101328,0.092264
4096,52,0.101328,0.050194
4096,57,0.101328,0.050978
4096,55,0.101328,0.045670
4096,58,0.101328,0.072988
4096,56,0.101328,0.075496
4096,60,0.101328,0.090277
4096,61,0.101328,0.069974
4096,62,0.101328,0.063599
4096,66,0.101328,0.084420
4096,63,0.101328,0.050451
4096,64,0.101328,0.088262
4096,67,0.101328,0.052497
4096,70,0.101328,0.055946
4096,65,0.101328,0.054523
4096,71,0.101328,0.056792
4096,69,0.101328,0.092502
4096,72,0.101328,0.101459
4096,68,0.101328,0.062494
4096,73,0.101328,0.041152
4096,75,0.101328,0.052729
