Number of Points,Trial Number,Graph Bandwidth,Error
4096,4,0.139326,0.003522
4096,0,0.139326,0.003800
4096,16,0.139326,0.003130
4096,9,0.139326,0.003626
4096,15,0.139326,0.003409
4096,11,0.139326,0.004009
4096,1,0.139326,0.003596
4096,2,0.139326,0.003476
4096,12,0.139326,0.004154
4096,8,0.139326,0.003546
4096,13,0.139326,0.003611
4096,10,0.139326,0.003994
4096,14,0.139326,0.003228
4096,18,0.139326,0.003476
4096,17,0.139326,0.003474
4096,7,0.139326,0.003589
4096,5,0.139326,0.003926
4096,19,0.139326,0.004118
4096,6,0.139326,0.003585
4096,3,0.139326,0.003383
8192,0,0.113575,0.002957
8192,9,0.113575,0.002833
8192,17,0.113575,0.002812
8192,11,0.113575,0.002764
8192,19,0.113575,0.002850
8192,18,0.113575,0.003073
8192,6,0.113575,0.002663
8192,5,0.113575,0.002792
8192,4,0.113575,0.002726
8192,7,0.113575,0.003079
8192,2,0.113575,0.003262
8192,10,0.113575,0.002965
8192,8,0.113575,0.002513
8192,16,0.113575,0.002786
8192,15,0.113575,0.002935
8192,3,0.113575,0.002909
8192,13,0.113575,0.003158
8192,1,0.113575,0.003007
8192,12,0.113575,0.003182
8192,14,0.113575,0.003094
16384,15,0.092401,0.002364
16384,3,0.092401,0.002336
16384,16,0.092401,0.002238
16384,7,0.092401,0.002186
16384,11,0.092401,0.002243
16384,1,0.092401,0.002277
16384,5,0.092401,0.002392
16384,17,0.092401,0.002132
16384,6,0.092401,0.002055
16384,9,0.092401,0.002223
16384,18,0.092401,0.002635
16384,10,0.092401,0.002496
16384,12,0.092401,0.002321
16384,0,0.092401,0.002297
16384,4,0.092401,0.002483
16384,14,0.092401,0.002283
16384,13,0.092401,0.002429
16384,2,0.092401,0.002544
16384,19,0.092401,0.002176
16384,8,0.092401,0.002255
32768,13,0.075047,0.001811
32768,11,0.075047,0.001944
32768,2,0.075047,0.001738
32768,18,0.075047,0.001819
32768,19,0.075047,0.001749
32768,5,0.075047,0.001891
32768,15,0.075047,0.001826
32768,14,0.075047,0.001721
32768,6,0.075047,0.001856
32768,10,0.075047,0.001840
32768,1,0.075047,0.001838
32768,8,0.075047,0.001812
32768,4,0.075047,0.002001
32768,12,0.075047,0.001837
32768,9,0.075047,0.001751
32768,17,0.075047,0.001766
32768,3,0.075047,0.001978
32768,0,0.075047,0.001697
32768,7,0.075047,0.001775
