Number of Points,Trial Number,Graph Bandwidth,Error
4096,15,0.135190,0.001916
4096,10,0.135190,0.002614
4096,6,0.135190,0.003144
4096,12,0.135190,0.002925
4096,17,0.135190,0.002639
4096,7,0.135190,0.002704
4096,18,0.135190,0.002637
4096,13,0.135190,0.002623
4096,4,0.135190,0.002430
4096,1,0.135190,0.002392
4096,3,0.135190,0.003041
4096,0,0.135190,0.002912
4096,16,0.135190,0.003379
4096,14,0.135190,0.002432
4096,11,0.135190,0.002121
4096,9,0.135190,0.002393
4096,2,0.135190,0.002279
4096,19,0.135190,0.003283
4096,5,0.135190,0.002699
4096,8,0.135190,0.135258
8192,18,0.099497,0.001539
8192,8,0.099497,0.004916
8192,15,0.099497,0.004020
8192,3,0.099497,0.002771
8192,17,0.099497,0.217659
8192,5,0.099497,0.004269
8192,16,0.099497,0.001866
8192,2,0.099497,0.004063
8192,14,0.099497,0.010294
8192,12,0.099497,0.001893
8192,10,0.099497,0.001931
8192,11,0.099497,0.002772
8192,9,0.099497,0.003642
8192,6,0.099497,0.002069
8192,7,0.099497,0.001813
8192,1,0.099497,0.001916
8192,0,0.099497,0.001825
8192,13,0.099497,0.002124
8192,19,0.099497,0.002574
8192,4,0.099497,0.002373
16384,0,0.073011,0.002311
16384,18,0.073011,0.005545
16384,11,0.073011,0.005844
16384,4,0.073011,0.003037
16384,14,0.073011,0.005290
16384,5,0.073011,0.004333
16384,17,0.073011,0.003997
16384,16,0.073011,0.002243
16384,6,0.073011,0.004716
16384,7,0.073011,0.003248
16384,13,0.073011,0.003935
16384,9,0.073011,0.349412
16384,2,0.073011,0.002968
16384,8,0.073011,0.001570
16384,19,0.073011,0.002573
16384,15,0.073011,0.002110
16384,10,0.073011,0.119426
16384,12,0.073011,0.032675
16384,1,0.073011,0.002780
16384,3,0.073011,0.002624
32768,3,0.053439,0.004521
32768,17,0.053439,0.004469
32768,6,0.053439,0.248299
32768,9,0.053439,0.521416
32768,13,0.053439,0.172745
32768,2,0.053439,0.003496
32768,10,0.053439,0.099689
32768,7,0.053439,0.096091
32768,18,0.053439,0.040399
32768,1,0.053439,0.004470
32768,5,0.053439,0.016183
32768,4,0.053439,0.115236
32768,19,0.053439,0.303106
32768,11,0.053439,0.214660
32768,8,0.053439,0.284888
32768,14,0.053439,0.039207
32768,0,0.053439,0.034510
32768,12,0.053439,0.185442
32768,16,0.053439,0.237434
32768,15,0.053439,0.243922
65536,11,0.039026,0.367696
65536,1,0.039026,0.363281
65536,10,0.039026,0.290832
65536,6,0.039026,0.173622
65536,9,0.039026,0.482681
65536,8,0.039026,0.003274
65536,18,0.039026,0.132735
65536,17,0.039026,0.367665
65536,13,0.039026,0.116627
65536,0,0.039026,0.275068
65536,19,0.039026,0.193499
65536,7,0.039026,0.057442
65536,5,0.039026,0.307366
65536,4,0.039026,0.089632
65536,2,0.039026,0.175117
65536,3,0.039026,0.205912
65536,16,0.039026,0.189314
65536,12,0.039026,0.143826
65536,14,0.039026,0.559729
65536,15,0.039026,0.211103
