Number of Points,Trial Number,Graph Bandwidth,Error
4096,7,0.137983,0.003359
4096,1,0.137983,0.003176
4096,9,0.137983,0.003733
4096,6,0.137983,0.003383
4096,0,0.137983,0.003525
4096,15,0.137983,0.003299
4096,2,0.137983,0.004052
4096,18,0.137983,0.003879
4096,10,0.137983,0.003931
4096,8,0.137983,0.003418
4096,3,0.137983,0.005198
4096,19,0.137983,0.004052
4096,11,0.137983,0.003820
4096,4,0.137983,0.003873
4096,13,0.137983,0.003576
4096,12,0.137983,0.003594
4096,16,0.137983,0.003908
4096,17,0.137983,0.003448
4096,14,0.137983,0.003499
4096,5,0.137983,0.003421
8192,2,0.118374,0.003274
8192,12,0.118374,0.003250
8192,14,0.118374,0.003019
8192,16,0.118374,0.002930
8192,1,0.118374,0.003258
8192,11,0.118374,0.003504
8192,13,0.118374,0.002811
8192,7,0.118374,0.002811
8192,4,0.118374,0.002928
8192,15,0.118374,0.002931
8192,6,0.118374,0.002806
8192,8,0.118374,0.002952
8192,10,0.118374,0.002981
8192,0,0.118374,0.002802
8192,9,0.118374,0.003137
8192,3,0.118374,0.002807
8192,19,0.118374,0.002772
8192,5,0.118374,0.002858
8192,17,0.118374,0.002916
8192,18,0.118374,0.002881
16384,18,0.101402,0.002548
16384,7,0.101402,0.002579
16384,3,0.101402,0.002685
16384,12,0.101402,0.002628
16384,2,0.101402,0.002783
16384,8,0.101402,0.002534
16384,4,0.101402,0.002616
16384,11,0.101402,0.002765
16384,17,0.101402,0.002574
16384,5,0.101402,0.002765
16384,6,0.101402,0.002549
16384,0,0.101402,0.002869
16384,15,0.101402,0.002608
16384,1,0.101402,0.002598
16384,9,0.101402,0.002682
16384,16,0.101402,0.002478
16384,10,0.101402,0.002645
16384,13,0.101402,0.002467
16384,19,0.101402,0.002687
16384,14,0.101402,0.002546
32768,14,0.086752,0.002405
32768,9,0.086752,0.002280
32768,18,0.086752,0.002244
32768,16,0.086752,0.002292
32768,7,0.086752,0.002234
32768,5,0.086752,0.002276
32768,17,0.086752,0.002225
32768,10,0.086752,0.002183
32768,1,0.086752,0.002390
32768,8,0.086752,0.002360
32768,4,0.086752,0.002252
32768,13,0.086752,0.002172
32768,11,0.086752,0.002167
32768,6,0.086752,0.002160
32768,2,0.086752,0.002146
32768,15,0.086752,0.002149
32768,3,0.086752,0.002135
32768,12,0.086752,0.002224
32768,19,0.086752,0.002267
