Number of Points,Trial Number,Graph Bandwidth,Error
4096,0,0.139326,0.140170
4096,15,0.139326,0.145285
4096,5,0.139326,0.137379
4096,6,0.139326,0.157757
4096,2,0.139326,0.142532
4096,14,0.139326,0.139913
4096,7,0.139326,0.144943
4096,11,0.139326,0.140451
4096,18,0.139326,0.151953
4096,13,0.139326,0.146578
4096,4,0.139326,0.137745
4096,1,0.139326,0.149025
4096,10,0.139326,0.142084
4096,3,0.139326,0.139585
4096,19,0.139326,0.148431
4096,9,0.139326,0.138797
4096,12,0.139326,0.152830
4096,8,0.139326,0.148290
4096,17,0.139326,0.144539
4096,16,0.139326,0.142039
4096,21,0.139326,0.140963
4096,22,0.139326,0.147779
4096,20,0.139326,0.135146
4096,26,0.139326,0.146921
4096,23,0.139326,0.149738
4096,24,0.139326,0.148756
4096,30,0.139326,0.148759
4096,25,0.139326,0.129170
4096,32,0.139326,0.125466
4096,27,0.139326,0.148762
4096,28,0.139326,0.140187
4096,31,0.139326,0.145012
4096,33,0.139326,0.136459
4096,29,0.139326,0.146774
4096,34,0.139326,0.155688
4096,36,0.139326,0.140685
4096,35,0.139326,0.150825
4096,37,0.139326,0.146744
4096,39,0.139326,0.147437
4096,38,0.139326,0.150656
4096,40,0.139326,0.133993
4096,41,0.139326,0.154239
4096,42,0.139326,0.149911
4096,43,0.139326,0.138697
4096,44,0.139326,0.146497
4096,46,0.139326,0.136222
4096,45,0.139326,0.144874
4096,50,0.139326,0.144767
4096,49,0.139326,0.147236
4096,48,0.139326,0.136674
4096,47,0.139326,0.150748
4096,54,0.139326,0.130651
4096,53,0.139326,0.144269
4096,55,0.139326,0.147329
4096,51,0.139326,0.148961
4096,52,0.139326,0.138743
4096,57,0.139326,0.134759
4096,56,0.139326,0.151321
4096,59,0.139326,0.143685
4096,58,0.139326,0.141130
4096,60,0.139326,0.146078
4096,61,0.139326,0.147747
4096,63,0.139326,0.141944
4096,62,0.139326,0.143464
4096,64,0.139326,0.138627
4096,68,0.139326,0.138229
4096,65,0.139326,0.141631
4096,66,0.139326,0.145544
4096,69,0.139326,0.142739
4096,71,0.139326,0.145232
4096,67,0.139326,0.153067
4096,73,0.139326,0.139657
4096,70,0.139326,0.141208
4096,72,0.139326,0.143699
4096,74,0.139326,0.142582
4096,75,0.139326,0.150358
4096,76,0.139326,0.139295
4096,79,0.139326,0.144552
4096,77,0.139326,0.154069
4096,78,0.139326,0.145430
4096,80,0.139326,0.143474
4096,81,0.139326,0.131370
4096,82,0.139326,0.147002
4096,83,0.139326,0.143793
4096,85,0.139326,0.155127
4096,84,0.139326,0.151401
4096,87,0.139326,0.139850
4096,89,0.139326,0.154548
4096,91,0.139326,0.144518
4096,86,0.139326,0.145441
4096,88,0.139326,0.145643
4096,90,0.139326,0.143635
4096,92,0.139326,0.150554
4096,93,0.139326,0.134823
4096,94,0.139326,0.134875
4096,96,0.139326,0.138937
4096,95,0.139326,0.145792
4096,97,0.139326,0.140693
4096,98,0.139326,0.151216
4096,99,0.139326,0.144442
8192,6,0.113575,0.117309
8192,5,0.113575,0.117156
8192,2,0.113575,0.122430
8192,4,0.113575,0.121240
8192,10,0.113575,0.123645
8192,7,0.113575,0.125319
8192,3,0.113575,0.122918
8192,15,0.113575,0.122126
8192,1,0.113575,0.123819
8192,13,0.113575,0.122130
8192,18,0.113575,0.123147
8192,19,0.113575,0.122592
8192,17,0.113575,0.114719
8192,14,0.113575,0.125579
8192,16,0.113575,0.120383
8192,0,0.113575,0.119504
8192,12,0.113575,0.123943
8192,9,0.113575,0.122784
8192,8,0.113575,0.130144
8192,11,0.113575,0.127385
8192,20,0.113575,0.124380
8192,26,0.113575,0.126632
8192,28,0.113575,0.114513
8192,23,0.113575,0.133193
8192,21,0.113575,0.128000
8192,32,0.113575,0.118249
8192,22,0.113575,0.118135
8192,27,0.113575,0.118797
8192,24,0.113575,0.124307
8192,30,0.113575,0.125267
8192,29,0.113575,0.108281
8192,25,0.113575,0.120687
8192,31,0.113575,0.127191
8192,36,0.113575,0.125223
8192,35,0.113575,0.114842
8192,34,0.113575,0.124117
8192,37,0.113575,0.118597
8192,33,0.113575,0.121582
8192,38,0.113575,0.128851
8192,39,0.113575,0.123227
8192,40,0.113575,0.117919
8192,43,0.113575,0.123258
8192,44,0.113575,0.119409
8192,42,0.113575,0.119862
8192,46,0.113575,0.118064
8192,45,0.113575,0.126801
8192,41,0.113575,0.121929
8192,54,0.113575,0.123241
8192,51,0.113575,0.111191
8192,48,0.113575,0.126314
8192,47,0.113575,0.122615
8192,58,0.113575,0.121544
8192,55,0.113575,0.121103
8192,52,0.113575,0.120265
8192,57,0.113575,0.125926
8192,49,0.113575,0.116616
8192,56,0.113575,0.115880
8192,53,0.113575,0.124929
8192,50,0.113575,0.128113
8192,59,0.113575,0.114886
8192,60,0.113575,0.114192
8192,61,0.113575,0.119610
8192,64,0.113575,0.118579
8192,63,0.113575,0.125198
8192,62,0.113575,0.114529
8192,67,0.113575,0.125197
8192,65,0.113575,0.118170
8192,66,0.113575,0.120700
8192,71,0.113575,0.108591
8192,72,0.113575,0.134030
8192,69,0.113575,0.119691
8192,73,0.113575,0.119633
8192,68,0.113575,0.120378
8192,70,0.113575,0.119785
8192,77,0.113575,0.125481
8192,75,0.113575,0.118111
8192,74,0.113575,0.124219
8192,79,0.113575,0.118725
8192,76,0.113575,0.125247
8192,78,0.113575,0.121155
8192,80,0.113575,0.123211
8192,81,0.113575,0.120623
8192,82,0.113575,0.121029
8192,84,0.113575,0.118744
8192,83,0.113575,0.119583
8192,86,0.113575,0.120208
8192,88,0.113575,0.117756
8192,85,0.113575,0.119548
8192,87,0.113575,0.116994
8192,90,0.113575,0.120975
8192,89,0.113575,0.121131
8192,92,0.113575,0.124252
8192,91,0.113575,0.121757
8192,96,0.113575,0.120740
8192,93,0.113575,0.121293
8192,95,0.113575,0.121839
8192,94,0.113575,0.126056
8192,98,0.113575,0.123633
8192,97,0.113575,0.124280
8192,99,0.113575,0.118265
16384,1,0.092401,0.099419
16384,11,0.092401,0.100192
16384,10,0.092401,0.098862
16384,7,0.092401,0.104377
16384,19,0.092401,0.100158
16384,6,0.092401,0.105184
16384,8,0.092401,0.105835
16384,4,0.092401,0.102582
16384,0,0.092401,0.106034
16384,3,0.092401,0.101913
16384,15,0.092401,0.096155
16384,5,0.092401,0.095942
16384,2,0.092401,0.105072
16384,17,0.092401,0.102950
16384,14,0.092401,0.100681
16384,12,0.092401,0.102477
16384,9,0.092401,0.098599
16384,16,0.092401,0.099871
16384,13,0.092401,0.102205
16384,18,0.092401,0.105241
16384,23,0.092401,0.101907
16384,22,0.092401,0.102820
16384,21,0.092401,0.102708
16384,20,0.092401,0.102881
16384,26,0.092401,0.108309
16384,28,0.092401,0.107315
16384,29,0.092401,0.102524
16384,38,0.092401,0.100950
16384,27,0.092401,0.107460
16384,32,0.092401,0.101791
16384,35,0.092401,0.099890
16384,24,0.092401,0.095607
16384,31,0.092401,0.100492
16384,37,0.092401,0.102131
16384,25,0.092401,0.098299
16384,33,0.092401,0.103386
16384,34,0.092401,0.099450
16384,36,0.092401,0.097710
16384,30,0.092401,0.100869
16384,39,0.092401,0.101362
16384,40,0.092401,0.100200
16384,41,0.092401,0.096343
16384,43,0.092401,0.102332
16384,44,0.092401,0.103056
16384,42,0.092401,0.094055
16384,49,0.092401,0.103217
16384,45,0.092401,0.094803
16384,46,0.092401,0.102259
16384,47,0.092401,0.101543
16384,50,0.092401,0.100464
16384,57,0.092401,0.100735
16384,52,0.092401,0.100645
16384,58,0.092401,0.093804
16384,53,0.092401,0.094456
16384,51,0.092401,0.104913
16384,48,0.092401,0.097828
16384,54,0.092401,0.101077
16384,56,0.092401,0.106140
16384,55,0.092401,0.099447
16384,59,0.092401,0.102128
16384,60,0.092401,0.105809
16384,62,0.092401,0.103292
16384,68,0.092401,0.105325
16384,65,0.092401,0.101539
16384,63,0.092401,0.110254
16384,61,0.092401,0.106056
16384,69,0.092401,0.101330
16384,64,0.092401,0.105196
16384,67,0.092401,0.096266
16384,71,0.092401,0.100618
16384,66,0.092401,0.102589
16384,70,0.092401,0.101514
16384,73,0.092401,0.104901
16384,77,0.092401,0.103067
16384,76,0.092401,0.102993
16384,75,0.092401,0.102274
16384,74,0.092401,0.104996
16384,78,0.092401,0.101323
16384,72,0.092401,0.098128
16384,79,0.092401,0.106996
16384,80,0.092401,0.096796
16384,83,0.092401,0.109934
16384,82,0.092401,0.097631
