Number of Points,Trial Number,Graph Bandwidth,Error
4096,5,0.137983,0.003726
4096,19,0.137983,0.004116
4096,1,0.137983,0.004591
4096,0,0.137983,0.003949
4096,10,0.137983,0.007309
4096,3,0.137983,0.006924
4096,2,0.137983,0.010119
4096,15,0.137983,0.003369
4096,17,0.137983,0.005963
4096,11,0.137983,0.004954
4096,4,0.137983,0.008628
4096,12,0.137983,0.005245
4096,8,0.137983,0.011715
4096,7,0.137983,0.004594
4096,13,0.137983,0.003374
4096,6,0.137983,0.010631
4096,14,0.137983,0.005188
4096,18,0.137983,0.003765
4096,16,0.137983,0.010834
4096,9,0.137983,0.013849
8192,17,0.118374,0.011366
8192,11,0.118374,0.003207
8192,14,0.118374,0.004091
8192,19,0.118374,0.003343
8192,18,0.118374,0.005595
8192,3,0.118374,0.003079
8192,8,0.118374,0.003231
8192,2,0.118374,0.009568
8192,16,0.118374,0.006559
8192,13,0.118374,0.006448
8192,15,0.118374,0.003400
8192,6,0.118374,0.004286
8192,7,0.118374,0.003259
8192,5,0.118374,0.002986
8192,4,0.118374,0.003264
8192,12,0.118374,0.004547
8192,9,0.118374,0.003252
8192,0,0.118374,0.005154
8192,1,0.118374,0.002794
8192,10,0.118374,0.002963
16384,13,0.101402,0.004721
16384,11,0.101402,0.002685
16384,17,0.101402,0.002607
16384,18,0.101402,0.002492
16384,5,0.101402,0.002487
16384,14,0.101402,0.002533
16384,9,0.101402,0.002494
16384,7,0.101402,0.006582
16384,15,0.101402,0.002548
16384,0,0.101402,0.002878
16384,3,0.101402,0.006070
16384,12,0.101402,0.002665
16384,8,0.101402,0.002571
16384,2,0.101402,0.002742
16384,4,0.101402,0.004074
16384,19,0.101402,0.005122
16384,1,0.101402,0.002505
16384,10,0.101402,0.005718
16384,6,0.101402,0.002425
16384,16,0.101402,0.005723
32768,19,0.086752,0.002363
32768,9,0.086752,0.002283
32768,16,0.086752,0.003883
32768,17,0.086752,0.002227
32768,10,0.086752,0.002239
32768,3,0.086752,0.002203
32768,14,0.086752,0.002133
32768,0,0.086752,0.003075
32768,6,0.086752,0.002258
32768,4,0.086752,0.002356
32768,15,0.086752,0.002327
32768,1,0.086752,0.002243
32768,12,0.086752,0.002634
32768,13,0.086752,0.002416
32768,8,0.086752,0.002170
32768,11,0.086752,0.002530
32768,2,0.086752,0.002117
32768,5,0.086752,0.002670
32768,18,0.086752,0.002149
