Number of Points,Trial Number,Graph Bandwidth,Error
4096,15,0.139326,0.006228
4096,13,0.139326,0.022572
4096,1,0.139326,0.010859
4096,8,0.139326,0.014019
4096,18,0.139326,0.020779
4096,11,0.139326,0.004791
4096,16,0.139326,0.015375
4096,19,0.139326,0.003332
4096,7,0.139326,0.003598
4096,4,0.139326,0.004568
4096,6,0.139326,0.004212
4096,9,0.139326,0.003295
4096,10,0.139326,0.013927
4096,0,0.139326,0.004324
4096,14,0.139326,0.019583
4096,5,0.139326,0.003796
4096,17,0.139326,0.003481
4096,12,0.139326,0.004069
4096,2,0.139326,0.003495
4096,3,0.139326,0.003946
8192,4,0.113575,0.004855
8192,12,0.113575,0.002936
8192,1,0.113575,0.002792
8192,6,0.113575,0.010552
8192,11,0.113575,0.003921
8192,5,0.113575,0.002869
8192,10,0.113575,0.003212
8192,0,0.113575,0.008172
8192,8,0.113575,0.006503
8192,7,0.113575,0.002691
8192,14,0.113575,0.006583
8192,3,0.113575,0.004747
8192,13,0.113575,0.003089
8192,2,0.113575,0.004201
8192,15,0.113575,0.005101
8192,19,0.113575,0.003359
8192,17,0.113575,0.013411
8192,16,0.113575,0.003129
8192,18,0.113575,0.002913
8192,9,0.113575,0.004331
16384,1,0.092401,0.002344
16384,9,0.092401,0.002461
16384,2,0.092401,0.002383
16384,0,0.092401,0.002662
16384,14,0.092401,0.005780
16384,19,0.092401,0.002975
16384,17,0.092401,0.002352
16384,11,0.092401,0.002722
16384,4,0.092401,0.005883
16384,8,0.092401,0.002224
16384,6,0.092401,0.002355
16384,7,0.092401,0.002219
16384,3,0.092401,0.010872
16384,12,0.092401,0.004572
16384,10,0.092401,0.013188
16384,5,0.092401,0.002409
16384,16,0.092401,0.002283
16384,18,0.092401,0.002730
16384,15,0.092401,0.002250
16384,13,0.092401,0.002367
32768,6,0.075047,0.001788
32768,13,0.075047,0.003574
32768,1,0.075047,0.001809
32768,9,0.075047,0.002358
32768,11,0.075047,0.001817
32768,10,0.075047,0.001862
32768,12,0.075047,0.002000
32768,0,0.075047,0.001984
32768,19,0.075047,0.001838
32768,5,0.075047,0.001816
32768,14,0.075047,0.001887
32768,15,0.075047,0.001727
32768,16,0.075047,0.002492
32768,18,0.075047,0.001899
32768,8,0.075047,0.001980
32768,17,0.075047,0.001889
32768,7,0.075047,0.002090
32768,2,0.075047,0.001719
32768,3,0.075047,0.001965
32768,4,0.075047,0.001991
