Number of Points,Trial Number,Graph Bandwidth,Error
4096,4,0.139326,0.017869
4096,3,0.139326,0.023828
4096,14,0.139326,0.029982
4096,6,0.139326,0.022302
4096,0,0.139326,0.022017
4096,11,0.139326,0.018844
4096,1,0.139326,0.024348
4096,2,0.139326,0.023952
4096,5,0.139326,0.025916
4096,9,0.139326,0.023549
4096,19,0.139326,0.025038
4096,7,0.139326,0.023675
4096,10,0.139326,0.025769
4096,15,0.139326,0.023227
4096,12,0.139326,0.024906
4096,8,0.139326,0.019204
4096,16,0.139326,0.021416
4096,13,0.139326,0.024777
4096,17,0.139326,0.024465
4096,18,0.139326,0.022606
4096,20,0.139326,0.023873
4096,21,0.139326,0.018725
4096,26,0.139326,0.026654
4096,24,0.139326,0.018714
4096,22,0.139326,0.021053
4096,25,0.139326,0.022054
4096,23,0.139326,0.026445
4096,27,0.139326,0.021876
4096,28,0.139326,0.025966
4096,29,0.139326,0.020622
4096,30,0.139326,0.020709
4096,34,0.139326,0.019184
4096,32,0.139326,0.023346
4096,31,0.139326,0.023764
4096,33,0.139326,0.024419
4096,35,0.139326,0.021900
4096,36,0.139326,0.026914
4096,37,0.139326,0.033852
4096,38,0.139326,0.020696
4096,39,0.139326,0.020604
4096,42,0.139326,0.022917
4096,40,0.139326,0.022462
4096,41,0.139326,0.026117
4096,43,0.139326,0.024825
4096,44,0.139326,0.020666
4096,45,0.139326,0.018742
4096,46,0.139326,0.018136
4096,48,0.139326,0.024592
4096,49,0.139326,0.026669
4096,47,0.139326,0.020658
4096,50,0.139326,0.026653
4096,55,0.139326,0.026215
4096,51,0.139326,0.018804
4096,52,0.139326,0.024016
4096,53,0.139326,0.022187
4096,54,0.139326,0.023222
4096,56,0.139326,0.025098
4096,57,0.139326,0.021957
4096,58,0.139326,0.028321
4096,59,0.139326,0.020751
4096,60,0.139326,0.025332
4096,62,0.139326,0.020356
4096,61,0.139326,0.019861
4096,63,0.139326,0.024042
4096,64,0.139326,0.018078
4096,65,0.139326,0.027652
4096,66,0.139326,0.028965
4096,67,0.139326,0.019300
4096,68,0.139326,0.023730
4096,69,0.139326,0.025196
4096,71,0.139326,0.022018
4096,70,0.139326,0.019300
4096,72,0.139326,0.019561
4096,73,0.139326,0.022053
4096,75,0.139326,0.021303
4096,74,0.139326,0.024701
4096,78,0.139326,0.020960
4096,76,0.139326,0.028272
4096,77,0.139326,0.020957
4096,79,0.139326,0.020517
4096,80,0.139326,0.024754
4096,81,0.139326,0.027859
4096,84,0.139326,0.019270
4096,83,0.139326,0.025640
4096,82,0.139326,0.035744
4096,86,0.139326,0.021242
4096,85,0.139326,0.021712
4096,87,0.139326,0.022940
4096,88,0.139326,0.025850
4096,89,0.139326,0.023908
4096,90,0.139326,0.021795
4096,91,0.139326,0.022856
4096,92,0.139326,0.020132
4096,93,0.139326,0.022912
4096,96,0.139326,0.017453
4096,94,0.139326,0.021247
4096,97,0.139326,0.022391
4096,95,0.139326,0.025112
4096,99,0.139326,0.024879
4096,98,0.139326,0.021258
8192,9,0.113575,0.016045
8192,4,0.113575,0.015002
8192,6,0.113575,0.016982
8192,7,0.113575,0.019173
8192,1,0.113575,0.016192
8192,0,0.113575,0.016149
8192,8,0.113575,0.016181
8192,13,0.113575,0.017805
8192,10,0.113575,0.016755
8192,14,0.113575,0.017945
8192,15,0.113575,0.018092
8192,2,0.113575,0.016297
8192,3,0.113575,0.017382
8192,17,0.113575,0.014001
8192,11,0.113575,0.016475
8192,18,0.113575,0.015395
8192,16,0.113575,0.018939
8192,19,0.113575,0.015669
8192,5,0.113575,0.014736
8192,12,0.113575,0.019371
8192,20,0.113575,0.017853
8192,21,0.113575,0.014796
8192,22,0.113575,0.016609
8192,26,0.113575,0.020840
8192,31,0.113575,0.017336
8192,28,0.113575,0.016843
8192,25,0.113575,0.020227
8192,23,0.113575,0.014570
8192,30,0.113575,0.017046
8192,24,0.113575,0.020903
8192,29,0.113575,0.018180
8192,32,0.113575,0.016882
8192,27,0.113575,0.023215
8192,36,0.113575,0.014057
8192,34,0.113575,0.024786
8192,33,0.113575,0.016505
8192,35,0.113575,0.014713
8192,39,0.113575,0.018173
8192,37,0.113575,0.020169
8192,38,0.113575,0.019086
8192,40,0.113575,0.015950
8192,42,0.113575,0.016856
8192,41,0.113575,0.015173
8192,43,0.113575,0.017041
8192,44,0.113575,0.014384
8192,51,0.113575,0.016829
8192,45,0.113575,0.016976
8192,48,0.113575,0.019332
8192,47,0.113575,0.016480
8192,46,0.113575,0.028326
8192,50,0.113575,0.020193
8192,49,0.113575,0.014078
8192,52,0.113575,0.015975
8192,57,0.113575,0.021567
8192,53,0.113575,0.014819
8192,59,0.113575,0.015521
8192,54,0.113575,0.015617
8192,58,0.113575,0.020506
8192,56,0.113575,0.015331
8192,55,0.113575,0.016683
8192,60,0.113575,0.016108
8192,61,0.113575,0.016497
8192,62,0.113575,0.025490
8192,64,0.113575,0.016162
8192,63,0.113575,0.015960
8192,66,0.113575,0.019910
8192,65,0.113575,0.016979
8192,68,0.113575,0.017031
8192,67,0.113575,0.017525
8192,71,0.113575,0.015670
8192,69,0.113575,0.019879
8192,73,0.113575,0.021331
8192,72,0.113575,0.021492
8192,75,0.113575,0.014346
8192,70,0.113575,0.015101
8192,77,0.113575,0.019060
8192,74,0.113575,0.016391
8192,78,0.113575,0.019329
8192,76,0.113575,0.015579
8192,79,0.113575,0.023103
8192,80,0.113575,0.017787
8192,81,0.113575,0.016731
8192,82,0.113575,0.019432
8192,83,0.113575,0.022682
8192,84,0.113575,0.017880
8192,85,0.113575,0.017435
8192,87,0.113575,0.017328
8192,86,0.113575,0.024176
8192,88,0.113575,0.015876
8192,90,0.113575,0.018299
8192,92,0.113575,0.019967
8192,95,0.113575,0.015965
8192,89,0.113575,0.018254
8192,94,0.113575,0.021478
8192,91,0.113575,0.016964
8192,93,0.113575,0.015767
8192,97,0.113575,0.021502
8192,98,0.113575,0.016824
8192,99,0.113575,0.018297
8192,96,0.113575,0.015495
16384,11,0.092401,0.011444
16384,10,0.092401,0.012486
16384,14,0.092401,0.012930
16384,5,0.092401,0.014175
16384,1,0.092401,0.014331
16384,13,0.092401,0.011585
16384,6,0.092401,0.013262
16384,16,0.092401,0.013267
16384,17,0.092401,0.012566
16384,3,0.092401,0.011973
16384,12,0.092401,0.012662
16384,4,0.092401,0.012280
16384,15,0.092401,0.013842
16384,2,0.092401,0.013613
16384,7,0.092401,0.010637
16384,8,0.092401,0.010894
16384,19,0.092401,0.013526
16384,0,0.092401,0.012896
16384,9,0.092401,0.014388
16384,18,0.092401,0.011421
16384,20,0.092401,0.017484
16384,21,0.092401,0.012504
16384,22,0.092401,0.014190
16384,25,0.092401,0.010619
16384,29,0.092401,0.012624
16384,23,0.092401,0.011531
16384,26,0.092401,0.012410
16384,32,0.092401,0.011952
16384,27,0.092401,0.012512
16384,31,0.092401,0.017338
16384,33,0.092401,0.011859
16384,30,0.092401,0.011635
16384,28,0.092401,0.011250
16384,24,0.092401,0.012388
16384,34,0.092401,0.013861
16384,36,0.092401,0.014643
16384,35,0.092401,0.012054
16384,38,0.092401,0.015065
16384,37,0.092401,0.013841
16384,39,0.092401,0.013386
16384,40,0.092401,0.013508
16384,42,0.092401,0.011799
16384,44,0.092401,0.013816
16384,43,0.092401,0.014865
16384,41,0.092401,0.013644
16384,47,0.092401,0.011897
16384,50,0.092401,0.012375
16384,51,0.092401,0.018604
16384,45,0.092401,0.012580
16384,48,0.092401,0.012678
16384,49,0.092401,0.014637
16384,46,0.092401,0.013182
16384,52,0.092401,0.010585
16384,53,0.092401,0.011974
16384,56,0.092401,0.012278
16384,55,0.092401,0.012123
16384,57,0.092401,0.015290
16384,54,0.092401,0.011044
16384,59,0.092401,0.012045
16384,58,0.092401,0.014087
16384,60,0.092401,0.011027
16384,61,0.092401,0.015082
16384,62,0.092401,0.012834
16384,65,0.092401,0.011594
16384,64,0.092401,0.015572
16384,63,0.092401,0.014746
16384,66,0.092401,0.014039
16384,68,0.092401,0.011760
16384,67,0.092401,0.013366
16384,69,0.092401,0.010392
16384,70,0.092401,0.012218
16384,72,0.092401,0.013115
16384,73,0.092401,0.014942
16384,71,0.092401,0.012053
16384,74,0.092401,0.013549
16384,75,0.092401,0.012604
16384,76,0.092401,0.013656
16384,78,0.092401,0.015999
16384,77,0.092401,0.010903
16384,79,0.092401,0.010969
16384,80,0.092401,0.012467
16384,84,0.092401,0.013132
16384,81,0.092401,0.012106
