Number of Points,Trial Number,Graph Bandwidth,Error
4096,9,0.139326,0.003717
4096,11,0.139326,0.002644
4096,14,0.139326,0.004302
4096,3,0.139326,0.003345
4096,19,0.139326,0.002729
4096,17,0.139326,0.003004
4096,12,0.139326,0.002890
4096,18,0.139326,0.003346
4096,4,0.139326,0.002947
4096,1,0.139326,0.003173
4096,13,0.139326,0.003673
4096,2,0.139326,0.002347
4096,10,0.139326,0.003648
4096,15,0.139326,0.045817
4096,7,0.139326,0.002769
4096,5,0.139326,0.002789
4096,6,0.139326,0.002453
4096,16,0.139326,0.002929
4096,0,0.139326,0.002663
4096,8,0.139326,0.003448
8192,0,0.113575,0.002476
8192,11,0.113575,0.004212
8192,14,0.113575,0.002454
8192,9,0.113575,0.002255
8192,6,0.113575,0.002024
8192,16,0.113575,0.003451
8192,2,0.113575,0.002267
8192,18,0.113575,0.002083
8192,13,0.113575,0.002641
8192,7,0.113575,0.003024
8192,4,0.113575,0.003475
8192,1,0.113575,0.002413
8192,10,0.113575,0.002449
8192,12,0.113575,0.161204
8192,17,0.113575,0.158412
8192,5,0.113575,0.002269
8192,8,0.113575,0.002763
8192,15,0.113575,0.001653
8192,19,0.113575,0.002659
8192,3,0.113575,0.002941
16384,12,0.092401,0.002019
16384,9,0.092401,0.002749
16384,19,0.092401,0.002245
16384,6,0.092401,0.004079
16384,17,0.092401,0.002385
16384,16,0.092401,0.001900
16384,13,0.092401,0.002383
16384,7,0.092401,0.585938
16384,4,0.092401,0.002078
16384,15,0.092401,0.001793
16384,2,0.092401,0.003134
16384,3,0.092401,0.002248
16384,1,0.092401,0.002769
16384,10,0.092401,0.002013
16384,5,0.092401,0.001513
16384,14,0.092401,0.002158
16384,0,0.092401,0.007638
16384,18,0.092401,0.103887
16384,11,0.092401,0.009252
16384,8,0.092401,0.098442
32768,17,0.075047,0.034883
32768,10,0.075047,0.231180
32768,9,0.075047,0.158374
32768,16,0.075047,0.020291
32768,13,0.075047,0.037265
32768,1,0.075047,0.031817
32768,18,0.075047,0.011224
32768,11,0.075047,0.313873
32768,6,0.075047,0.002614
32768,14,0.075047,0.239230
32768,4,0.075047,0.017082
32768,7,0.075047,0.016596
32768,2,0.075047,0.095720
32768,15,0.075047,0.144271
32768,8,0.075047,0.070566
32768,0,0.075047,0.036090
32768,19,0.075047,0.002546
32768,12,0.075047,0.075077
32768,3,0.075047,0.032943
32768,5,0.075047,0.090774
65536,2,0.060861,0.529914
65536,9,0.060861,0.264582
65536,6,0.060861,0.340769
65536,4,0.060861,0.402906
65536,1,0.060861,0.321711
65536,5,0.060861,0.225796
65536,16,0.060861,0.446933
65536,12,0.060861,0.238111
65536,19,0.060861,0.244979
65536,8,0.060861,0.037522
65536,0,0.060861,0.456807
65536,18,0.060861,0.162580
65536,11,0.060861,0.148598
65536,3,0.060861,0.136475
65536,10,0.060861,0.076974
65536,14,0.060861,0.331455
65536,7,0.060861,0.244682
65536,13,0.060861,0.325263
65536,17,0.060861,0.290598
65536,15,0.060861,0.136263
