Number of Points,Trial Number,Graph Bandwidth,Error
4096,0,0.137983,0.067322
4096,8,0.137983,0.069525
4096,10,0.137983,0.076802
4096,9,0.137983,0.048574
4096,6,0.137983,0.076053
4096,3,0.137983,0.064531
4096,2,0.137983,0.080486
4096,13,0.137983,0.062356
4096,12,0.137983,0.060892
4096,4,0.137983,0.071028
4096,19,0.137983,0.073137
4096,7,0.137983,0.058671
4096,1,0.137983,0.070315
4096,15,0.137983,0.077845
4096,17,0.137983,0.076375
4096,14,0.137983,0.093889
4096,5,0.137983,0.071543
4096,18,0.137983,0.062418
4096,11,0.137983,0.042345
4096,16,0.137983,0.064088
4096,23,0.137983,0.094941
4096,20,0.137983,0.063435
4096,22,0.137983,0.053299
4096,21,0.137983,0.043577
4096,24,0.137983,0.065433
4096,26,0.137983,0.062885
4096,25,0.137983,0.081695
4096,28,0.137983,0.080288
4096,30,0.137983,0.108565
4096,29,0.137983,0.089513
4096,27,0.137983,0.059345
4096,31,0.137983,0.069431
4096,35,0.137983,0.052834
4096,37,0.137983,0.049838
4096,38,0.137983,0.054370
4096,34,0.137983,0.057283
4096,33,0.137983,0.060474
4096,32,0.137983,0.068526
4096,36,0.137983,0.069278
4096,39,0.137983,0.055793
4096,40,0.137983,0.074932
4096,41,0.137983,0.077525
4096,42,0.137983,0.083296
4096,43,0.137983,0.098324
4096,44,0.137983,0.063656
4096,46,0.137983,0.050281
4096,50,0.137983,0.063459
4096,47,0.137983,0.045037
4096,48,0.137983,0.082745
4096,45,0.137983,0.063477
4096,49,0.137983,0.069961
4096,55,0.137983,0.074806
4096,52,0.137983,0.064583
4096,51,0.137983,0.079446
4096,53,0.137983,0.043923
4096,58,0.137983,0.104477
4096,56,0.137983,0.074481
4096,54,0.137983,0.075490
4096,57,0.137983,0.096538
4096,59,0.137983,0.053884
4096,60,0.137983,0.061998
4096,61,0.137983,0.060445
4096,62,0.137983,0.072066
4096,63,0.137983,0.091376
4096,65,0.137983,0.042395
4096,66,0.137983,0.076548
4096,64,0.137983,0.061650
4096,68,0.137983,0.071272
4096,67,0.137983,0.054559
4096,69,0.137983,0.058198
4096,71,0.137983,0.059311
4096,75,0.137983,0.042403
4096,70,0.137983,0.054724
4096,72,0.137983,0.069779
4096,74,0.137983,0.073164
4096,77,0.137983,0.075755
4096,73,0.137983,0.077290
4096,76,0.137983,0.065114
4096,78,0.137983,0.059542
4096,79,0.137983,0.073038
4096,80,0.137983,0.091250
4096,81,0.137983,0.075576
4096,82,0.137983,0.062384
4096,83,0.137983,0.057122
4096,84,0.137983,0.069019
4096,85,0.137983,0.089485
4096,86,0.137983,0.056493
4096,87,0.137983,0.072689
4096,88,0.137983,0.081850
4096,90,0.137983,0.041346
4096,91,0.137983,0.079974
4096,93,0.137983,0.062589
4096,95,0.137983,0.087890
4096,89,0.137983,0.063646
4096,92,0.137983,0.080181
4096,97,0.137983,0.088361
4096,96,0.137983,0.074346
4096,94,0.137983,0.070319
4096,98,0.137983,0.053236
4096,99,0.137983,0.078202
8192,7,0.118374,0.042570
8192,17,0.118374,0.057347
8192,11,0.118374,0.030852
8192,5,0.118374,0.045767
8192,13,0.118374,0.058165
8192,6,0.118374,0.072820
8192,1,0.118374,0.046969
8192,12,0.118374,0.043849
8192,14,0.118374,0.032830
8192,9,0.118374,0.053876
8192,10,0.118374,0.054162
8192,2,0.118374,0.047687
8192,18,0.118374,0.049511
8192,0,0.118374,0.035687
8192,19,0.118374,0.070458
8192,3,0.118374,0.056191
8192,8,0.118374,0.043839
8192,4,0.118374,0.049812
8192,16,0.118374,0.073161
